PrimaryKey,RunID,StockID,Age,TimeStep,Cohort,MatureCohort,StartCohort,WorkingCohort,MidCohort,Shelton.TimeStep,Year.run,Season.run,Year.Season.run,Species,StockVersion,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName
3409116,31,7,3,3,3374.363736,1090.556854,6080.277366,5561.629707,4464.920591,2,1991,.Sum,1991.Sum,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409117,31,7,3,4,6346.248061,0,8096.733025,6576.166563,6346.248061,3,1991,.Fall,1991.Fall,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409119,31,7,4,2,7425.363012,3.759136,8386.762808,8080.645965,7429.122148,1,1991,.Spr,1991.Spr,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409120,31,7,4,3,1341.382363,3874.270099,7425.363012,7022.1658,5215.652462,2,1991,.Sum,1991.Sum,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409121,31,7,4,4,2203.351256,0,3374.363736,2962.353924,2203.351256,3,1991,.Fall,1991.Fall,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409123,31,7,5,2,3749.819782,0,4460.299868,4382.69065,3749.819782,1,1991,.Spr,1991.Spr,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409124,31,7,5,3,0,2964.354086,3749.819782,3652.324468,2964.354086,2,1991,.Sum,1991.Sum,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409125,31,7,5,4,1140.939099,0,1341.382363,1261.435974,1140.939099,3,1991,.Fall,1991.Fall,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409127,31,9,2,2,579.330261,0,633.468673,581.77763,579.330261,1,1991,.Spr,1991.Spr,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409128,31,9,2,3,483.68733,17.027302,579.330261,509.868563,500.714632,2,1991,.Sum,1991.Sum,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409129,31,9,2,4,633.468673,0,853.386331,633.468673,633.468673,3,1991,.Fall,1991.Fall,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409131,31,9,3,2,352.907214,0.152522,385.670266,363.417091,353.059736,1,1991,.Spr,1991.Spr,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409132,31,9,3,3,193.629804,62.516637,352.907214,322.804229,256.146442,2,1991,.Sum,1991.Sum,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
